,Title,Price,Rating
287,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
288,"boAt Immortal 121 with Beast Mode(40ms Low Latency),RGB...","₹1,399","(6,308)"
289,Aroma NB119 Advance 48 Hours Playing Time Fast Charging...,₹407,"(39,314)"
290,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
291,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
292,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
293,Dozokil M10 TWS Bluetooth Earbuds Wireless Earbuds (Bla...,₹392,"(3,374)"
294,Number Super Buds Pro GT9 ENC Gaming TWS Bluetooth Head...,"₹1,299","(6,095)"
295,Rudra Tech M19 / M90 / M10 / T2TWS Bluetooth 5.0 Wirele...,₹492,(517)
296,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
297,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
298,"truke Yoga Mystic lite with 40ms Gaming Mode, 50H Playt...",₹699,"(4,395)"
299,TECHFIRE Fire-T50 -48 Hours Playing Time Fast Charging ...,₹479,"(2,726)"
300,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
301,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
302,"HOPPUP AirDoze Grand Pro with Power Bank Function, 200 ...",₹699,"(8,692)"
303,Mivi Duopods F30 with 42 hours battery Fast Charging TW...,₹699,"(2,13,037)"
304,TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹474,"(2,37,341)"
305,FITRIC B-55 Bluetooth Headset,₹439,(9)
306,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
307,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
308,Tunifi M88 TWS Earbuds Upto 48Hrs. Playback with Power-...,₹851,(123)
309,"LONGWINGS Wireless Bluetooth earphones, up to 15 hours ...",₹498,(75)
310,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
311,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
312,"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...","₹1,099","(75,441)"
313,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
314,GENTLEMOB Earbuds/Tws/Buds M90 pro Bluetooth True wirel...,₹494,(109)
315,"Noise Buds VS401 with 50 Hrs Playtime, Quad Mic with EN...","₹1,199","(3,677)"
316,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",₹572,"(2,687)"
317,Tunifi M19 Earbuds Upto 48 Hours Playback with Power Ba...,₹597,"(3,637)"
318,"JBL Tune 760NC Active Noise Cancelling, 50 Hr Playtime,...","₹4,499","(1,421)"
319,Dozokil High M10 Pro TWS Bluetooth Earbuds Wireless Ear...,₹405,"(3,493)"
320,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
321,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
322,Fastrack FPods FZ100|Mega 50Hr Battery|Quad Mic ENC|3C ...,"₹1,695","(7,272)"
323,"TECHFIRE Bullets ARC Wireless Neckband with FastCharge,...",₹499,(54)
324,"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...",₹999,"(75,441)"
325,"SONY WH-CH520 with 50 Hrs Playtime, DSEE Upscale, Multi...","₹4,490","(2,140)"
326,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
327,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
328,Kabeer enterprises Premium TWS M28 Gaming Earbuds with ...,₹499,"(9,691)"
329,"Aloof 02 12 hrs Playtime, ENx Tech, ASAP Charge, BEAST ...",₹149,
330,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
331,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
332,"Aroma NB119 Queen 100 Hours Playtime, EQ modes, Fast Ch...",₹681,"(7,207)"
333,SONY 310AP Wired Headset,₹949,"(2,67,189)"
334,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
335,TECHFIRE Fire-T50 -48 Hours Playing Time Fast Charging ...,₹479,"(2,726)"
336,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
337,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
338,realme Buds Wireless 2S with Dual Device Switching & Ty...,"₹1,499","(35,075)"
339,deamflum L-21 with ASAP Charge Bluetooth Headset,₹392,"(2,929)"
340,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
341,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
342,"truke Air Buds Lite with Quad Mic ENC, 10mm Driver, Ear...",₹799,"(50,504)"
343,JVMART B235 BT SUPER SOUND NECKBAND Bluetooth Headset,₹369,"(1,598)"
344,"ORAIMO Roll Earbuds with ENC,16Hrs Playtime, 13mm Dynam...",₹599,"(1,094)"
345,"Noise Air Buds Pro SE with ANC (30dB), 45 Hours Playtim...","₹2,299","(1,260)"
346,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
347,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
348,"Boult Audio Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery...","₹1,099","(10,613)"
349,TimbreSonic Bounce 2.0 Wireless Bluetooth Smart Neckban...,₹389,(111)
350,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
351,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
352,SONY XB55AP Wired Headset,"₹2,199","(23,109)"
353,"Boult Audio W50 with Quad Mic ENC, 50H Battery Life, Lo...","₹1,099","(1,954)"
354,"Noise Buds VS102 Plus with 70 Hours Playtime, Instachar...","₹1,099","(55,853)"
355,"Portronics Harmonics Z5 Wireless Neckband, 33Hrs Playti...",₹729,"(2,810)"
356,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",₹572,"(2,687)"
357,Tunifi M19 Earbuds Upto 48 Hours Playback with Power Ba...,₹597,"(3,637)"
358,"Fire-Boltt Fire Pods Ninja Pro 403 Earbuds TWS, ENC & G...",₹999,"(17,896)"
359,bAot 102 NB with upto 24 hour paly back bluetooth heads...,₹645,"(2,112)"
