,Title,Price,Rating
65,"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatia...","₹1,799","(34,853)"
66,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
67,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
68,OnePlus Buds Pro 2 Bluetooth Headset,"₹8,999","(4,041)"
69,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹799,"(16,98,081)"
70,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
71,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
72,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast C...",₹899,"(2,71,379)"
73,"Mivi Commando X7,35ms Low Latency,13mm Bass,50H Playtim...",₹999,"(3,068)"
74,"Boult Audio W40 with Quad Mic ENC, 48H Battery Life, Lo...","₹1,099","(27,944)"
75,Aroma NB119 King 100 Hours Playting Time Fast Charging ...,₹549,"(7,565)"
76,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",₹572,"(2,687)"
77,Tunifi M19 Earbuds Upto 48 Hours Playback with Power Ba...,₹597,"(3,637)"
78,"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",₹799,"(29,969)"
79,Mi Basic Wired Headset with Mic,₹399,"(7,60,714)"
80,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
81,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
82,"boAt Immortal 131 with Beast Mode, 40 Hours Playback an...","₹1,099","(60,407)"
83,WINGS Flobuds 200 Made In India Transparent Case Smart ...,₹699,"(4,391)"
84,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...",₹999,"(38,290)"
85,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",₹699,"(23,432)"
86,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
87,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
88,"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatia...","₹1,799","(34,853)"
