Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-15 09:15:00+05:30,723.9000244140625,724.0,721.4500122070312,723.7999877929688,723.7999877929688,0
2023-12-15 09:16:00+05:30,724.0,725.0,723.4000244140625,724.25,724.25,2344
2023-12-15 09:17:00+05:30,724.3499755859375,724.3499755859375,723.7000122070312,724.0499877929688,724.0499877929688,1249
2023-12-15 09:18:00+05:30,724.0,724.1500244140625,723.2999877929688,723.6500244140625,723.6500244140625,2576
2023-12-15 09:19:00+05:30,723.2999877929688,723.9500122070312,723.2999877929688,723.8499755859375,723.8499755859375,567
2023-12-15 09:20:00+05:30,723.7999877929688,723.7999877929688,722.5999755859375,722.8499755859375,722.8499755859375,1129
2023-12-15 09:21:00+05:30,722.6500244140625,723.9000244140625,722.6500244140625,723.8499755859375,723.8499755859375,1598
2023-12-15 09:22:00+05:30,723.4500122070312,723.5499877929688,723.0,723.0,723.0,610
2023-12-15 09:23:00+05:30,723.0,723.25,722.75,722.75,722.75,612
2023-12-15 09:24:00+05:30,722.9000244140625,723.0,722.6500244140625,723.0,723.0,1372
2023-12-15 09:25:00+05:30,722.9000244140625,723.25,722.5999755859375,722.6500244140625,722.6500244140625,1301
2023-12-15 09:26:00+05:30,722.9000244140625,723.1500244140625,722.5,722.9000244140625,722.9000244140625,1558
2023-12-15 09:27:00+05:30,723.1500244140625,723.9500122070312,723.0999755859375,723.9500122070312,723.9500122070312,1305
2023-12-15 09:28:00+05:30,723.8499755859375,723.9000244140625,723.4000244140625,723.4000244140625,723.4000244140625,473
2023-12-15 09:29:00+05:30,723.0499877929688,723.3499755859375,722.4000244140625,722.8499755859375,722.8499755859375,202
2023-12-15 09:30:00+05:30,722.6500244140625,722.7999877929688,722.0,722.5,722.5,730
2023-12-15 09:31:00+05:30,722.2999877929688,722.5499877929688,722.2999877929688,722.4500122070312,722.4500122070312,122
2023-12-15 09:32:00+05:30,722.1500244140625,722.4000244140625,721.5499877929688,721.5499877929688,721.5499877929688,448
2023-12-15 09:33:00+05:30,721.8499755859375,722.25,721.25,722.1500244140625,722.1500244140625,941
2023-12-15 09:34:00+05:30,722.5499877929688,723.4000244140625,722.5499877929688,723.0,723.0,557
2023-12-15 09:35:00+05:30,722.9000244140625,723.5499877929688,722.9000244140625,723.5499877929688,723.5499877929688,1007
2023-12-15 09:36:00+05:30,723.5499877929688,723.6500244140625,723.25,723.5,723.5,712
